地区,用户id,昵称,性别,微博数,粉丝数,关注数,id,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
四川,2970452952,李子柒,女,411,25616137,183,4517608383498080,中国人的生活离不开“柴米油盐酱醋茶”那我们每天吃到的“菜籽油”又是怎么来的呢？一颗米尖大的菜籽历经寒冬就能变成上千颗！让人好不感叹生命和自然的神奇。菜籽榨油后有做不尽的四海美食，可不就是爱吃什么做什么嘛！#李子柒烟火小吃# #朝花柒拾# #丰收节#  李子柒的微博视频 ,,"http://f.video.weibocdn.com/000WOGHIgx07EbYEduXK0104120fScfu0E060.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1CwnkDw1GXwCQx&Expires=1592982315&ssig=%2FB1LHOjo5I&KID=unistore,video",,2020-06-19,烹饪教程 · 视频社区,617763,135830,131233,"李子柒烟火小吃,朝花柒拾,丰收节",
四川,2970452952,李子柒,女,411,25616137,183,4511796654736843,我觉得没有人不爱吃土豆的吧！一颗土豆大卸八块埋土里等啊等，每一块都能结出好多好多小土豆！每颗小土豆又能做成土豆烧排骨，酸辣土豆粉，土豆泥、土豆薯片…等等等等……你的家乡还有没啥地道的土豆吃法啊？#李子柒万物皆可搭土豆# #丰收节# #微博厨房大赛#  李子柒的微博视频 ,,"http://f.video.weibocdn.com/004Fh1Kngx07DMoHfQZW0104120cp80Q0E050.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1CwnkDw1GXwCQx&Expires=1592982315&ssig=G%2FLgLt%2B%2F7T&KID=unistore,video",,2020-06-03,烹饪教程 · 视频社区,1101700,142380,148194,"李子柒万物皆可搭土豆,丰收节,微博厨房大赛",
四川,2970452952,李子柒,女,411,25616137,183,4506371049012095,小时候最期待“叮叮哐”敲麻糖的声音，记忆里爷爷总自己发麦芽熬糖给我们扯麦芽糖从一捧麦子到一筐麦子，不过是生命的轮回。麦芽能熬糖，麦秆能编帽，面粉能做各种美食包子 凉皮 肉夹馍，麻花 面条 烤面筋…快告诉我你最喜欢什么面食吧！#李子柒 童年小零食# #微博厨房大赛# #朝花柒拾#  李子柒的微博视频,,,,2020-05-19,烹饪教程 · 视频社区,769104,133316,111329,"李子柒 童年小零食,微博厨房大赛,朝花柒拾",
四川,2970452952,李子柒,女,411,25616137,183,4498405851796095,一颗小豌豆、发芽长叶吃豌豆尖。开花后吃嫩豆角、嫩豌豆最后收获一大把豌豆子拿来炖肉吃！作物从种子到种子的轮回是生命延续最快见证话说豌豆凉粉 香酥豌豆 豌杂面 豌豆黄 蹄花汤你最Pick哪一个“小豌豆”？#李子柒花式吃豌豆# #随手拍春天# #朝花柒拾#  李子柒的微博视频 ,,"http://f.video.weibocdn.com/001xffvMgx07CPsy2N9S0104120b6L1T0E040.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1CwnkDw1GXwCQx&Expires=1592982315&ssig=ABjrJWzclM&KID=unistore,video",,2020-04-27,烹饪教程 · 视频社区,749683,116248,88892,"李子柒花式吃豌豆,随手拍春天,朝花柒拾",
四川,2970452952,李子柒,女,411,25616137,183,4493328236026269,大蒜这种食物，应该算是家家户户餐桌必备的吧？不管蒸的  炒的 红烧的 凉拌的，少了它好像就是少了些滋味！从去年秋天到现在，从蒜疙瘩到蒜疙瘩！挖新蒜喽～～#李子柒花样吃大蒜# #朝花柒拾#  李子柒的微博视频 ,,"http://f.video.weibocdn.com/004iSm9tgx07Ct6VNqXJ0104120aaPdb0E040.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1CwnkDw1GXwCQx&Expires=1592982315&ssig=3zb4wbG6s9&KID=unistore,video",,2020-04-13,烹饪教程 · 视频社区,667746,99038,92335,"李子柒花样吃大蒜,朝花柒拾",
四川,2970452952,李子柒,女,411,25616137,183,4488995776359899,三月三，上巳节、女儿节。也是叫“桃花节”对吧？相传古老又浪漫的节日！寻了花材做了些吃食，带上这帮“孩子们”在家门口做作的踏了个青也算是和这个春天好好的打了招呼！#朝花柒拾#  #李子柒春日鲜花宴#  李子柒的微博视频 ,,"http://f.video.weibocdn.com/00143VHWgx07Ca2EPCBh01041206GKHl0E030.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1CwnkDw1GXwCQx&Expires=1592982315&ssig=TD3aDnmHbl&KID=unistore,video",,2020-04-01,烹饪教程 · 视频社区,909188,121723,116065,"朝花柒拾,李子柒春日鲜花宴",
四川,2970452952,李子柒,女,411,25616137,183,4484525352193842,“青出于蓝，而胜于蓝” 从一颗蓼蓝种子到两次收割， 打靛、起缸、染布、做衣！蓝印花布 蜡染这些老前辈们的手艺，不知道还有多少人记得呢！#朝花柒拾##李子柒蓝印花布# @微博视频 李子柒的微博视频 ,,"http://f.video.weibocdn.com/000M4DXLgx07BQmKRgof0104120aW2Pu0E040.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1CwnkDw1GXwCQx&Expires=1592982315&ssig=%2FcuI4QlNtt&KID=unistore,video",,2020-03-20,非遗 · 视频社区,1232670,270568,227740,"朝花柒拾,李子柒蓝印花布",微博视频
四川,2970452952,李子柒,女,411,25616137,183,4464372116392629,#年夜饭C位担当#刚吃过年夜饭，所有的菜名都是新年对你们的祝福。大家照顾好自己和家人，注意安全。我在远方为你祈祷新的一年健康平安❤️#春节摄影大赛# 绿洲 ,"https://wx2.sinaimg.cn/large/b10d83d8ly3gb7z5w6fs3j20ju0qg10r.jpg,https://wx3.sinaimg.cn/large/b10d83d8ly3gb7z5wmhusj20qo0zknej.jpg,https://wx3.sinaimg.cn/large/b10d83d8ly3gb7z5xnzarj20ju0qganf.jpg,https://wx3.sinaimg.cn/large/b10d83d8ly3gb7z5y6gk6j20js0qctor.jpg,https://wx1.sinaimg.cn/large/b10d83d8ly3gb7z607i37j20k40qswzc.jpg,https://wx1.sinaimg.cn/large/b10d83d8ly3gb7z5ylus6j20k60qw7la.jpg,https://wx4.sinaimg.cn/large/b10d83d8ly3gb7z5wxm2hj20qo0zk19q.jpg,https://wx2.sinaimg.cn/large/b10d83d8ly3gb7z6007u2j20qo0zkh39.jpg,https://wx4.sinaimg.cn/large/b10d83d8ly3gb7z605nfbj20mi0u013u.jpg",,,2020-01-24,绿洲APP,288219,29402,16468,"年夜饭C位担当,春节摄影大赛",
四川,2970452952,李子柒,女,411,25616137,183,4462856005495672,#李子柒弹棉花#  “弹棉花呀～弹棉花～ 半斤棉弹成了八两八哟。旧棉花弹成了新棉花，弹好那个棉被姑娘要出嫁……“出嫁的姑娘倒是没有，但我有个可爱的老人家。去年种了我们这很多年都没人种过的棉花！种的不多，收成也不大好！刚好够给她做床新棉絮！ #朝花柒拾#  李子柒的微博视频 ,,"http://f.video.weibocdn.com/002MW60klx07AiZtYIDu01041206KllB0E030.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1CwnkDw1GXwCQx&Expires=1592982315&ssig=9mGL8RGVoK&KID=unistore,video",,2020-01-20,日常 · 视频社区,1262753,161768,137323,"李子柒弹棉花,朝花柒拾",
四川,2970452952,李子柒,女,411,25616137,183,4458241322552600,正是家家户户杀年猪的时候腊肉 腊肠用冷熏的法子做了个遍大冷天的煮了个客家传统老汤“胡椒猪肚鸡”配个腊味煲仔饭+咸蛋黄猪肝这都是什么人间美味！！#朝花柒拾# #理想生活季#  李子柒的微博视频 ,,"http://f.video.weibocdn.com/0016FeUklx07zYGcupeU01041207wFHJ0E030.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1CwnkDw1GXwCQx&Expires=1592982272&ssig=5I8pNAmwq2&KID=unistore,video",,2020-01-07,烹饪教程 · 视频社区,546916,85141,80222,"朝花柒拾,理想生活季",
